Year_Built,Remodel_Year,Lot_Area,Total_SqFt,Basement_SqFt,Bedrooms,Bathrooms,Garage_Cars,Fireplaces,Has_Pool,Overall_Qual,Neighborhood,House_Condition,Garage_Type,Heating_Type,Sale_Price
1967,2018,5155,4131,1226,2,4.0,1,0,1,4,Downtown,Good,Detached,Electric,1080016
1985,2016,9829,2787,716,2,3.5,0,3,0,4,Suburbs,Poor,None,Oil,391107
1982,1982,4886,2470,984,2,1.5,2,3,1,10,Suburbs,Good,Detached,Gas,623368
2013,2011,9471,2381,1939,1,1.0,2,1,0,6,Suburbs,Good,Attached,Solar,589352
1975,1998,15589,1306,895,2,4.0,0,3,0,1,Rural,Excellent,None,Electric,383316
1997,1997,11391,3368,1176,5,2.0,1,3,1,1,Downtown,Good,Attached,Gas,893761
1989,1989,16350,4342,1705,1,2.0,1,3,0,3,Downtown,Good,Attached,Gas,1089508
1966,1966,10899,960,1452,6,3.5,3,2,1,5,Waterfront,Excellent,Detached,Solar,1165522
1989,1989,3306,4160,1776,1,3.0,0,3,1,6,Suburbs,Good,None,Gas,794746
1956,1956,6075,1139,286,1,1.5,1,0,1,5,Downtown,Excellent,Attached,Oil,609742
2006,2022,10244,4373,756,1,3.5,2,1,0,5,Suburbs,Excellent,Attached,Oil,1010184
1957,1957,9611,3977,1344,3,4.0,1,3,0,9,Waterfront,Excellent,Attached,Gas,1200000
2005,2019,17134,2625,1459,5,1.5,2,0,1,2,Suburbs,Excellent,Attached,Gas,835071
1980,1980,3275,2298,1615,4,3.5,1,1,0,1,Rural,Excellent,Attached,Electric,457303
2008,2008,8271,2423,495,2,2.0,2,1,0,6,Downtown,Good,Detached,Gas,723219
2007,2004,10331,2286,1627,1,2.5,3,0,1,9,Downtown,Fair,Attached,Oil,776627
1961,2018,14553,2306,1172,4,3.5,0,0,0,7,Suburbs,Good,None,Gas,607964
1997,1991,14573,3551,541,3,4.0,3,2,1,8,Suburbs,Good,Detached,Electric,805712
1980,1980,13072,1976,634,4,2.0,1,2,0,5,Rural,Good,Detached,Oil,361571
2012,2008,19017,1622,1922,1,1.5,0,3,0,10,Rural,Poor,None,Gas,320206
1988,1988,19455,1584,1505,6,1.0,1,2,0,4,Historic,Good,Attached,Gas,607947
1969,1969,10386,4020,1349,5,2.5,2,0,0,6,Suburbs,Excellent,Attached,Gas,1072703
1997,1997,9862,4059,938,4,1.0,1,2,0,3,Suburbs,Good,Detached,Gas,716817
2020,1993,10340,930,1052,1,2.0,0,1,0,1,Waterfront,Excellent,None,Electric,584312
2003,2003,12487,2275,1282,1,1.0,2,0,1,4,Suburbs,Good,Detached,Oil,556057
2020,2019,18061,3363,697,2,2.0,2,3,0,9,Suburbs,Good,Attached,Gas,777401
1978,2002,10635,4362,1952,6,1.0,0,1,0,4,Downtown,Fair,None,Electric,999077
2022,2004,17604,2299,74,2,3.5,2,1,0,1,Downtown,Good,Attached,Electric,648565
1997,1997,6042,4134,1580,6,1.5,0,1,0,4,Historic,Fair,None,Gas,749445
2005,2005,13386,4409,1604,5,2.0,0,0,0,7,Waterfront,Poor,None,Gas,1049272
1966,1966,14692,4330,497,2,3.5,2,0,0,3,Rural,Excellent,Attached,Solar,711963
1958,1958,18225,3383,1439,5,3.0,2,3,0,10,Suburbs,Good,Detached,Electric,832317
1983,2016,19693,3588,1902,3,1.5,3,2,0,6,Suburbs,Good,Attached,Electric,841329
1994,2019,9661,1580,721,3,1.0,3,2,0,1,Suburbs,Good,Attached,Electric,385705
1958,2009,13253,2507,1774,6,3.0,1,2,0,4,Suburbs,Good,Attached,Gas,577885
1956,1990,14937,2569,1363,6,2.0,2,2,0,3,Suburbs,Poor,Detached,Electric,422980
1965,2013,3794,2118,307,2,3.5,0,1,0,1,Rural,Fair,None,Electric,226014
1968,1968,17598,2738,703,3,2.5,2,0,0,3,Rural,Good,Detached,Electric,418017
1955,2001,9786,2258,883,4,2.0,3,2,0,4,Suburbs,Good,Attached,Gas,565822
1960,1960,7014,4146,1638,4,2.5,0,1,0,5,Historic,Fair,None,Gas,724547
2010,2019,10392,3435,1264,4,3.0,0,0,0,6,Rural,Poor,None,Gas,350047
1991,2002,15545,4179,252,3,3.5,2,0,1,2,Rural,Fair,Attached,Solar,451971
1962,2014,8353,3573,935,4,1.0,0,0,1,2,Rural,Excellent,None,Gas,597554
1961,1961,6407,3790,1243,5,2.5,2,1,0,6,Suburbs,Good,Attached,Electric,698162
1969,2006,19053,3844,396,1,1.0,0,2,1,5,Suburbs,Excellent,None,Gas,896441
1999,2001,16189,1175,985,6,2.5,1,0,0,1,Suburbs,Good,Attached,Gas,361549
1985,2000,14213,4029,1359,2,3.5,1,1,0,3,Waterfront,Excellent,Attached,Electric,1200000
2018,1999,10248,3051,1752,5,2.0,2,0,0,5,Downtown,Good,Attached,Electric,899104
1986,1986,7369,3836,1737,4,4.0,2,3,0,2,Downtown,Good,Detached,Electric,1017473
1961,1961,11050,1460,1052,1,3.0,1,3,0,1,Downtown,Excellent,Attached,Gas,639081
1989,2009,19848,2922,493,2,4.0,3,1,0,9,Downtown,Good,Attached,Electric,1060084
2003,1994,8415,2203,958,5,3.5,2,2,0,5,Historic,Good,Detached,Gas,632930
1951,2021,18398,1540,1747,2,1.5,0,2,0,2,Rural,Good,None,Gas,361311
1999,1999,11115,1103,1525,6,1.5,2,0,0,10,Suburbs,Excellent,Attached,Electric,643432
1990,1990,3287,1885,1177,3,2.0,2,2,0,4,Downtown,Good,Attached,Gas,601029
1994,1994,6195,3417,991,4,1.5,1,2,1,3,Suburbs,Fair,Attached,Gas,542516
1958,1958,10450,1585,1254,5,2.5,3,3,0,7,Suburbs,Excellent,Attached,Electric,694806
2011,2011,5925,3979,101,5,2.5,0,1,0,1,Suburbs,Excellent,None,Electric,804028
1996,1996,17515,2010,826,1,4.0,0,3,0,10,Suburbs,Good,None,Oil,601516
1954,1990,8310,3834,176,1,2.5,3,1,0,4,Suburbs,Poor,Detached,Gas,449703
1950,2006,19830,1028,1716,1,3.5,1,0,0,7,Rural,Good,Attached,Gas,343311
1993,1993,14760,3919,983,2,4.0,2,3,0,10,Rural,Good,Detached,Gas,676494
1971,2011,17896,2654,926,4,3.5,2,1,0,5,Downtown,Good,Detached,Solar,900676
1987,2007,13774,1067,231,2,1.5,0,2,0,4,Suburbs,Good,None,Electric,320002
1968,1968,18457,3574,11,4,2.5,2,1,0,4,Rural,Excellent,Detached,Electric,693354
1980,2010,12543,3649,1209,5,2.0,1,2,0,2,Suburbs,Good,Detached,Gas,668213
2016,2022,6980,1053,760,2,2.0,3,0,0,8,Historic,Poor,Detached,Electric,354517
1991,1991,14576,3804,931,2,2.0,1,2,0,4,Rural,Good,Attached,Gas,506511
1975,1975,6413,1669,265,2,3.5,0,1,0,2,Suburbs,Fair,None,Electric,256953
1962,1962,3494,2934,1925,3,2.5,2,3,1,9,Downtown,Fair,Attached,Solar,898504
2007,1998,3947,2004,1158,6,2.5,2,1,0,10,Rural,Excellent,Detached,Solar,613574
1967,1967,3022,1848,756,4,4.0,3,3,0,7,Downtown,Poor,Attached,Electric,528936
2016,2016,4128,4259,1054,4,1.0,1,1,0,3,Rural,Excellent,Detached,Electric,692767
1952,2020,16986,3069,1882,2,2.5,1,1,0,7,Historic,Good,Detached,Solar,899132
2004,2004,19161,1789,455,3,3.5,2,0,0,1,Rural,Excellent,Attached,Electric,411644
2007,2000,19160,1196,258,2,1.5,1,2,0,1,Suburbs,Excellent,Attached,Gas,424000
2012,2012,19941,1737,1127,4,3.0,2,1,0,4,Rural,Good,Detached,Electric,386887
2001,2020,12808,3358,430,6,1.5,1,3,0,4,Suburbs,Good,Detached,Gas,606304
1973,1973,9998,3408,1405,6,3.5,3,2,0,4,Suburbs,Good,Attached,Electric,741535
2021,2021,10182,3693,468,5,2.0,3,0,1,9,Historic,Good,Attached,Electric,983139
1958,1958,11998,1239,1536,3,2.0,1,2,0,6,Suburbs,Excellent,Detached,Electric,529445
1986,2002,6312,4046,1964,6,3.0,3,1,0,3,Historic,Excellent,Attached,Gas,1200000
2002,2002,16329,2727,1973,3,1.5,3,3,0,6,Historic,Good,Attached,Gas,858658
1973,2008,18802,3158,1969,2,2.0,3,3,0,2,Suburbs,Good,Attached,Electric,695868
1970,2007,14167,2807,1230,5,2.0,2,2,0,2,Downtown,Fair,Attached,Oil,675324
1989,2022,5324,4145,646,4,2.0,1,3,0,7,Downtown,Good,Attached,Electric,1045654
2011,2011,12639,834,446,6,2.5,1,1,1,3,Downtown,Fair,Attached,Gas,467266
2019,2007,16338,3064,782,6,3.0,2,3,0,7,Downtown,Good,Attached,Solar,1025874
2018,2013,13753,1520,1112,1,2.5,2,3,0,3,Rural,Good,Attached,Solar,339611
1963,1963,8984,3863,194,4,3.0,3,3,0,2,Downtown,Good,Attached,Gas,982809
1991,2020,18142,4279,1437,6,2.0,1,1,0,4,Suburbs,Good,Attached,Gas,822392
1999,2017,14063,1318,1145,6,1.5,2,0,0,4,Waterfront,Good,Attached,Electric,812008
2010,1998,3362,1068,461,4,3.5,0,3,0,3,Downtown,Fair,None,Oil,309610
1953,1953,6454,1437,1139,5,3.5,1,0,0,9,Waterfront,Good,Attached,Solar,857031
2021,1991,6255,3322,195,3,2.0,3,2,0,6,Suburbs,Fair,Attached,Oil,549635
1966,1966,8349,2148,35,4,2.0,1,2,0,5,Downtown,Fair,Attached,Electric,539026
2006,2006,10195,2179,66,3,2.5,3,1,0,6,Rural,Fair,Attached,Electric,339170
1997,1997,13047,889,644,5,2.5,1,1,0,8,Rural,Poor,Detached,Gas,232823
1993,1993,10750,1865,1304,5,3.0,1,1,1,5,Historic,Good,Detached,Gas,652698
1994,1996,12399,2188,1502,2,1.0,0,1,0,4,Rural,Good,None,Electric,367163
1982,1999,16686,2494,1034,1,3.0,1,0,0,7,Waterfront,Good,Detached,Electric,1096356
1980,1980,11035,4073,1991,5,1.0,0,1,0,5,Suburbs,Good,None,Electric,747310
1996,1996,4507,2189,1753,5,2.5,2,0,0,4,Suburbs,Good,Attached,Electric,500760
1955,1955,17776,3829,321,3,3.5,1,3,0,5,Waterfront,Fair,Attached,Gas,1158075
2021,2008,9583,3135,1691,5,2.5,1,3,1,4,Waterfront,Good,Attached,Electric,1200000
2020,1998,6927,4474,239,4,1.5,1,2,0,8,Historic,Good,Attached,Gas,929270
1983,1983,18797,1280,1016,2,4.0,1,2,0,8,Suburbs,Excellent,Attached,Gas,666258
2002,1991,7231,3484,1083,2,3.5,3,0,0,1,Suburbs,Good,Detached,Oil,578917
1963,1963,8302,1300,649,4,3.5,2,1,0,3,Waterfront,Excellent,Attached,Electric,842194
1965,2011,8291,2461,561,6,2.0,0,2,0,4,Suburbs,Fair,None,Solar,451799
1992,1995,3908,2899,1702,5,1.5,0,0,1,2,Historic,Good,None,Gas,662284
2022,2022,18123,902,164,1,4.0,3,2,0,5,Historic,Excellent,Attached,Electric,640271
1961,1995,15877,4232,830,5,2.5,2,1,1,8,Suburbs,Excellent,Attached,Gas,1138998
2019,2019,17239,2247,188,2,3.5,3,0,0,2,Waterfront,Good,Attached,Gas,862966
1968,1968,5586,3546,1510,1,2.0,3,2,0,9,Waterfront,Good,Attached,Oil,1200000
1990,1990,12335,4076,91,6,2.0,1,1,0,7,Downtown,Good,Attached,Electric,1116369
2002,2014,18640,3885,1829,3,4.0,3,0,0,6,Historic,Excellent,Attached,Oil,1200000
1978,1978,13534,2763,1911,3,2.5,2,0,1,8,Suburbs,Good,Attached,Gas,711723
2019,2017,4806,2439,288,5,1.5,2,0,0,2,Waterfront,Good,Attached,Oil,854155
2008,2007,13292,3317,1532,5,1.5,0,3,1,5,Suburbs,Good,None,Gas,694936
2013,2013,13967,4337,1098,1,2.5,1,0,0,4,Historic,Good,Detached,Oil,932707
1973,1973,19455,2127,1580,1,1.0,0,2,0,8,Suburbs,Good,None,Gas,564782
1965,2010,3027,4476,1451,6,2.5,1,0,1,1,Downtown,Excellent,Attached,Gas,1200000
2001,2012,11660,3274,1408,5,2.5,3,0,0,3,Historic,Poor,Attached,Electric,561745
1955,1955,10055,2479,1076,2,3.5,2,0,0,10,Downtown,Good,Detached,Solar,890919
1986,2005,12616,2957,174,3,2.0,3,0,0,8,Suburbs,Good,Attached,Gas,678578
1953,1993,13440,2388,1696,6,4.0,3,0,1,5,Historic,Excellent,Attached,Gas,1014800
1987,1987,6832,3362,1602,1,1.5,2,3,0,4,Historic,Good,Detached,Oil,749750
1990,2011,18970,867,473,2,3.0,1,1,0,6,Rural,Excellent,Detached,Gas,393512
1963,1963,16107,4117,1934,5,1.5,2,3,0,5,Rural,Good,Attached,Gas,630818
2020,2020,16777,3236,1384,4,3.0,3,2,0,3,Suburbs,Poor,Attached,Gas,470097
2000,1995,18954,2473,269,1,4.0,3,1,0,5,Suburbs,Good,Attached,Gas,574081
2014,2018,19943,1107,406,6,3.5,1,2,0,4,Suburbs,Excellent,Attached,Solar,522756
2001,2001,10957,2175,1147,4,2.5,3,0,0,1,Rural,Excellent,Attached,Oil,454423
1979,1990,15666,2622,693,2,2.5,3,2,0,1,Waterfront,Good,Attached,Electric,945437
2006,1996,13110,1889,375,3,3.5,2,3,0,7,Waterfront,Excellent,Attached,Solar,1200000
1979,1979,10344,1259,1415,2,4.0,0,3,0,4,Waterfront,Excellent,None,Electric,829250
1991,1991,19462,3194,181,3,4.0,2,0,0,1,Downtown,Fair,Detached,Gas,727441
1960,2003,16696,3172,35,2,2.0,2,0,0,6,Suburbs,Good,Detached,Gas,635932
1976,2013,4031,1466,1235,1,4.0,2,1,0,1,Downtown,Good,Attached,Gas,494279
1973,1973,18090,2422,1919,1,1.5,3,3,0,8,Suburbs,Poor,Attached,Gas,486693
1988,1988,18816,1856,1971,6,2.0,3,3,0,9,Suburbs,Excellent,Attached,Solar,921749
2021,2021,13437,867,133,4,1.5,1,1,1,3,Historic,Poor,Attached,Oil,262787
1967,1967,18453,3034,864,2,2.0,3,3,0,7,Suburbs,Good,Attached,Gas,689867
1994,2018,17258,3039,923,2,3.5,1,1,0,5,Downtown,Fair,Detached,Electric,777195
1961,1961,4550,2036,689,4,3.5,2,3,0,3,Downtown,Good,Detached,Electric,614172
1998,1998,15977,2423,1701,5,3.5,2,2,0,5,Waterfront,Fair,Attached,Solar,943219
1980,2016,7682,3275,1949,6,3.0,3,2,1,10,Rural,Poor,Attached,Oil,451416
1971,1971,17439,2174,490,2,2.5,0,1,0,7,Downtown,Good,None,Electric,723625
1993,1993,6751,3979,1872,6,3.0,1,1,0,7,Downtown,Poor,Attached,Oil,793870
2013,2014,15914,4111,840,2,2.0,3,0,0,9,Rural,Good,Attached,Electric,663872
1974,2004,13223,3063,987,2,3.5,3,3,0,8,Downtown,Good,Attached,Electric,1030878
2000,2008,18398,976,1461,5,3.0,3,2,0,4,Waterfront,Good,Detached,Gas,818164
1956,1956,9601,2388,838,1,3.0,0,0,1,5,Rural,Good,None,Gas,376155
1955,1955,6856,2153,1069,6,2.5,3,3,0,5,Downtown,Excellent,Attached,Electric,998404
1973,2012,15661,3408,667,4,3.5,0,2,0,10,Downtown,Good,None,Gas,1093590
1968,2001,18591,3728,1424,6,2.0,0,3,0,2,Historic,Good,None,Gas,854422
1958,1958,9182,1425,1511,5,2.0,2,1,0,7,Suburbs,Fair,Attached,Electric,383107
1985,1985,10970,4321,1019,3,3.5,2,2,0,7,Suburbs,Fair,Attached,Gas,721992
1989,2003,18154,3454,431,3,2.5,2,2,1,9,Waterfront,Good,Attached,Electric,1200000
1973,1973,5094,4318,1451,5,3.5,0,0,0,9,Historic,Good,None,Electric,1031903
1997,1997,15095,4408,747,5,2.0,3,3,0,4,Historic,Good,Attached,Solar,981763
2012,2012,16672,978,827,1,2.0,3,1,0,5,Waterfront,Excellent,Detached,Electric,920016
2018,2010,17228,1194,1595,6,3.5,1,1,0,7,Suburbs,Excellent,Attached,Gas,669877
2002,2003,11559,1968,516,6,2.5,2,3,0,10,Downtown,Good,Detached,Electric,864918
2003,2010,3064,1675,1988,3,2.5,3,3,0,7,Waterfront,Good,Attached,Oil,934220
1991,1991,6299,1761,461,4,2.0,3,1,0,10,Rural,Poor,Detached,Solar,275704
1994,1994,7849,997,965,6,2.0,0,3,0,8,Suburbs,Good,None,Gas,435232
1963,1963,8639,1768,1926,2,3.0,0,0,0,8,Historic,Good,None,Gas,588048
1978,2011,14055,3955,180,2,1.5,0,3,0,2,Downtown,Good,None,Solar,915655
1955,1995,19980,1468,144,1,3.5,2,0,0,9,Suburbs,Excellent,Attached,Gas,701960
1956,1991,13866,3956,1850,1,3.5,3,0,0,4,Downtown,Good,Detached,Electric,1114123
1986,1986,6889,3304,1288,3,1.5,2,3,0,1,Suburbs,Good,Attached,Gas,584017
2002,1996,18458,4347,734,4,3.0,3,2,0,1,Downtown,Good,Attached,Gas,1037269
1967,2005,3452,2076,405,4,3.0,1,2,0,5,Downtown,Good,Attached,Gas,623791
1987,1987,13995,2710,812,5,1.5,2,0,0,7,Downtown,Poor,Attached,Gas,591672
2008,2008,5631,871,968,1,2.0,2,3,0,5,Rural,Fair,Attached,Electric,209946
1950,2003,5186,1022,954,6,2.0,0,0,0,3,Rural,Good,None,Solar,238466
2017,2001,8967,3123,1871,2,3.0,2,3,0,7,Rural,Good,Attached,Gas,515110
1993,1993,7348,2069,483,6,3.0,2,3,0,1,Historic,Good,Detached,Oil,530263
1996,2001,4459,2164,481,2,2.5,3,1,0,1,Suburbs,Excellent,Attached,Gas,551588
1984,2020,4942,3420,1260,3,3.5,3,2,0,2,Suburbs,Good,Attached,Electric,630835
2009,2009,17896,1723,1548,2,3.5,3,2,0,1,Historic,Excellent,Attached,Gas,734121
2001,2001,17407,1270,338,6,3.0,0,1,0,9,Suburbs,Good,None,Solar,521974
1957,1957,18622,3301,267,6,3.5,0,1,0,4,Historic,Good,None,Oil,755476
1990,1990,17557,3816,1955,4,2.0,0,1,0,7,Downtown,Excellent,None,Electric,1200000
1952,1952,19445,2854,265,4,3.5,0,0,0,5,Historic,Poor,None,Oil,518943
2018,2018,16093,987,527,1,3.0,3,0,0,7,Downtown,Poor,Attached,Electric,401658
1963,1997,5788,2851,1115,6,3.5,1,0,1,7,Historic,Fair,Attached,Solar,661496
1975,1994,13400,2468,1271,3,2.5,1,0,0,1,Suburbs,Good,Detached,Electric,491470
2019,1997,19489,3754,1042,2,1.5,2,0,1,1,Historic,Fair,Attached,Solar,699472
2007,2007,6925,1948,871,1,2.5,1,2,0,3,Downtown,Excellent,Attached,Electric,736359
1989,1989,17568,3886,1413,5,2.0,3,2,0,10,Rural,Fair,Attached,Gas,599827
2000,2000,15656,1759,1411,5,3.0,1,3,0,2,Historic,Excellent,Detached,Electric,771689
1954,2008,12466,3372,925,2,2.5,1,2,0,7,Suburbs,Fair,Detached,Gas,589206
1981,1981,6904,1429,1638,2,3.5,2,1,0,3,Rural,Good,Attached,Electric,284699
1950,1950,18467,4111,1118,2,3.0,2,2,0,7,Rural,Fair,Attached,Electric,527349
2003,2018,13419,1574,429,4,3.0,3,1,1,9,Suburbs,Poor,Detached,Electric,412588
1960,2012,19676,1159,794,2,1.5,2,2,0,1,Rural,Excellent,Detached,Gas,396950
2002,2009,13414,1317,940,5,4.0,3,0,1,3,Rural,Good,Attached,Gas,355069
1957,1957,15165,2143,1748,2,3.5,3,2,0,6,Historic,Poor,Detached,Electric,505047
1974,1974,13683,4102,1060,6,3.5,2,3,0,9,Downtown,Good,Attached,Solar,1200000
1989,2001,18442,2769,1416,3,2.0,1,0,0,5,Suburbs,Fair,Attached,Gas,541737
1981,1992,7860,3901,1596,5,2.5,2,0,0,3,Historic,Good,Detached,Gas,886192
1977,1977,6729,4405,1314,3,1.5,1,3,0,8,Historic,Good,Detached,Electric,941109
1952,1952,17400,1720,1897,5,2.5,1,2,1,5,Suburbs,Good,Attached,Electric,561473
2011,2020,11619,4027,302,1,1.5,3,2,0,6,Rural,Excellent,Detached,Gas,706789
1976,2022,14164,3699,1779,6,2.5,3,3,0,2,Suburbs,Fair,Detached,Gas,632917
1994,1995,9110,1734,1940,5,3.0,2,0,0,4,Suburbs,Good,Detached,Gas,534909
1974,1997,9955,2786,400,6,2.0,1,3,0,1,Suburbs,Good,Detached,Solar,537640
2010,2017,3106,1700,822,5,2.5,2,1,0,4,Suburbs,Good,Detached,Gas,417885
1993,1993,7754,2528,343,3,3.5,3,1,0,1,Rural,Good,Attached,Gas,358965
1995,1995,14525,3246,862,3,1.5,1,2,0,4,Downtown,Fair,Attached,Gas,741226
1963,1997,9408,2169,517,5,3.5,2,0,0,2,Historic,Poor,Attached,Gas,380089
1957,1957,10635,2018,1400,5,1.5,2,1,0,6,Historic,Good,Attached,Oil,627262
1997,2018,4225,3015,1954,4,1.0,3,3,0,6,Rural,Fair,Detached,Gas,442721
1963,1996,15196,1176,1841,6,1.5,3,2,0,8,Suburbs,Fair,Attached,Gas,463185
2014,1999,7250,4360,164,6,3.5,3,2,0,9,Suburbs,Good,Attached,Electric,874090
1956,2002,18372,2574,1036,6,2.0,3,0,0,8,Waterfront,Poor,Attached,Gas,875597
1998,1998,15097,4233,24,6,3.5,2,1,1,1,Rural,Excellent,Attached,Gas,704165
2004,2004,15055,2305,1759,1,2.5,3,2,1,3,Suburbs,Excellent,Attached,Oil,798750
1962,1962,8419,2067,1146,1,1.0,3,3,0,6,Historic,Fair,Detached,Oil,475389
2022,1991,18713,4452,128,2,3.0,2,1,1,1,Waterfront,Good,Attached,Solar,1200000
2005,2005,14784,3454,816,5,1.5,2,2,0,8,Historic,Fair,Detached,Oil,795190
2005,2000,5433,1810,1657,5,3.5,0,2,0,6,Rural,Fair,None,Electric,324104
1964,1996,13998,3436,1570,5,1.5,2,1,0,1,Rural,Excellent,Attached,Gas,630330
2006,2019,14575,1994,1017,5,2.0,1,1,1,10,Suburbs,Fair,Attached,Oil,541344
2007,2007,4301,4384,594,6,3.5,3,0,0,2,Historic,Good,Attached,Oil,889913
1984,1984,9858,4277,1332,6,4.0,1,3,0,6,Historic,Good,Detached,Oil,1013766
1965,1965,11950,4445,435,1,2.0,1,0,1,10,Downtown,Good,Detached,Electric,1156353
1957,1957,11938,2030,181,3,3.5,3,0,0,8,Downtown,Poor,Attached,Gas,536143
1994,1994,8644,1977,1611,4,1.5,3,3,0,5,Suburbs,Excellent,Attached,Oil,707686
1989,1989,14078,2895,615,6,3.5,0,3,0,1,Waterfront,Good,None,Electric,993918
2003,1998,12260,2472,743,6,3.0,1,0,0,10,Historic,Good,Attached,Solar,843532
1963,1963,17690,3872,1838,6,1.5,2,1,0,2,Suburbs,Fair,Attached,Gas,632340
2008,2008,6307,2728,42,3,2.0,0,3,0,4,Rural,Good,None,Gas,344105
2002,2020,19488,4278,403,3,1.5,2,0,0,4,Suburbs,Excellent,Detached,Gas,979438
1976,2015,3395,3978,1952,1,2.0,0,1,0,7,Historic,Good,None,Oil,907062
1996,1992,13845,972,604,6,1.5,3,2,0,2,Waterfront,Good,Detached,Gas,620057
1955,1955,6291,3353,655,4,3.0,0,1,0,7,Waterfront,Fair,None,Gas,948200
2004,2018,16138,4001,1789,5,4.0,3,0,0,7,Suburbs,Good,Attached,Solar,920577
1993,2016,7537,3245,1613,6,1.0,1,3,0,7,Suburbs,Excellent,Detached,Gas,931450
1967,1999,12860,1093,262,1,2.5,0,1,0,3,Suburbs,Poor,None,Oil,203780
1965,1965,9618,1351,69,1,2.5,3,1,1,6,Downtown,Excellent,Detached,Gas,659194
1961,1995,7723,2270,660,4,3.5,2,1,0,6,Historic,Poor,Attached,Oil,475626
1969,1969,17837,3697,1315,2,2.5,2,3,0,4,Waterfront,Good,Attached,Electric,1200000
1994,2016,11539,1839,1237,1,2.5,1,3,1,1,Historic,Fair,Attached,Solar,479573
2013,2013,4263,2462,871,3,2.5,3,1,0,9,Historic,Good,Attached,Solar,712443
2008,2019,16305,1684,821,3,2.0,2,1,0,2,Rural,Excellent,Attached,Gas,419230
1971,1992,13934,2172,146,5,1.0,2,0,0,9,Waterfront,Fair,Detached,Gas,888964
1996,1996,13265,3851,24,1,2.0,3,3,0,8,Historic,Fair,Detached,Gas,801132
1978,2010,19339,2026,1346,5,1.0,3,1,1,1,Waterfront,Fair,Attached,Electric,837406
1994,1994,4351,933,1132,1,2.5,2,3,0,7,Suburbs,Excellent,Detached,Oil,478590
1958,1958,10190,1570,692,4,2.0,3,3,0,10,Suburbs,Fair,Attached,Electric,486612
1973,1973,19650,4397,250,6,2.5,3,3,1,3,Downtown,Fair,Attached,Electric,993226
1964,2013,13885,3355,481,1,1.5,3,0,0,10,Historic,Good,Attached,Gas,903198
1985,1985,10434,1889,714,2,4.0,2,2,0,10,Rural,Fair,Attached,Oil,380602
1962,2016,4022,1279,815,3,3.5,1,3,0,9,Suburbs,Fair,Attached,Solar,431080
1993,2010,5037,1662,681,4,1.5,3,3,0,5,Rural,Good,Attached,Gas,346307
2020,2014,11756,1258,174,6,2.0,2,1,0,3,Rural,Excellent,Attached,Electric,415882
2021,2019,16558,4213,1370,6,3.0,0,3,0,8,Suburbs,Good,None,Gas,885759
1985,1985,4424,1425,1193,3,1.5,2,2,0,3,Downtown,Excellent,Attached,Electric,679426
2010,2010,7123,958,1,6,2.0,2,3,0,7,Rural,Good,Detached,Electric,285256
1989,1989,19603,3008,1669,5,2.0,2,0,0,7,Suburbs,Good,Detached,Gas,741986
1976,2002,3405,2077,638,4,3.5,1,1,0,7,Waterfront,Excellent,Detached,Gas,1200000
1950,1950,12829,2807,1581,2,3.5,0,2,0,1,Suburbs,Good,None,Gas,551239
1983,1983,12951,2720,705,3,2.5,1,0,0,5,Historic,Excellent,Attached,Electric,897382
2017,2013,11983,1739,361,1,2.5,3,2,1,1,Rural,Fair,Attached,Electric,259265
1970,1970,15025,4398,1744,1,4.0,0,1,0,7,Rural,Poor,None,Gas,446183
1982,1993,7929,2372,1319,1,4.0,2,3,0,8,Historic,Excellent,Attached,Oil,943484
1956,1956,12522,3002,569,4,4.0,1,1,0,7,Suburbs,Poor,Detached,Electric,464449
2014,2014,15638,3333,589,2,1.5,2,1,0,1,Downtown,Good,Detached,Gas,806157
1952,1952,11702,1231,201,6,1.5,3,3,0,3,Downtown,Good,Detached,Gas,487213
2000,2000,13764,1850,1004,2,3.0,0,0,0,10,Waterfront,Excellent,None,Oil,1200000
2003,1994,15121,1803,1312,2,2.5,0,2,0,3,Rural,Good,None,Solar,316833
2008,2008,17219,3883,1085,3,1.0,1,0,1,7,Rural,Fair,Detached,Gas,498775
1955,1955,4617,2914,1525,4,1.0,2,3,0,4,Suburbs,Fair,Attached,Gas,476356
1978,2006,13248,3389,1803,1,3.5,0,2,0,3,Downtown,Excellent,None,Gas,1200000
1966,2008,4583,2943,125,3,3.5,3,3,0,6,Downtown,Excellent,Attached,Electric,1117726
2009,1994,9704,1014,991,6,2.0,1,0,0,10,Suburbs,Good,Attached,Gas,475463
1971,2013,10988,3041,48,2,3.5,0,1,0,6,Rural,Good,None,Gas,455125
1973,2022,12953,2470,1623,1,3.0,3,2,0,10,Suburbs,Excellent,Attached,Electric,923139
2000,2000,5613,2113,845,4,3.5,2,3,0,5,Suburbs,Good,Attached,Electric,545371
1999,1992,6892,4415,1796,5,2.5,1,2,0,6,Historic,Fair,Attached,Gas,828108
1960,1993,15336,1684,178,2,1.5,0,2,0,3,Suburbs,Poor,None,Gas,282526
2005,2005,9733,2886,1604,2,2.5,2,0,0,10,Suburbs,Good,Attached,Electric,712868
2020,2020,7431,2687,1902,2,2.5,2,1,0,5,Waterfront,Poor,Detached,Gas,754597
1991,1991,6515,1738,1951,2,2.5,2,2,0,9,Suburbs,Good,Attached,Gas,582163
1988,1988,7454,1738,492,1,1.5,3,0,0,4,Rural,Good,Detached,Oil,306864
